,bitstring,ideal_real_amp,ideal_imag_amp,ideal_prob,google_noisy_prob,depolarize_single_0.0016_prob
6616,01100111011000,0.0015412075426278677,-0.000932087443762102,3.2441076922720004e-06,3.6e-05,4.2e-05
6617,01100111011001,0.0069103641668843314,-0.007176458182711122,9.92546849671604e-05,4.2e-05,8.8e-05
6618,01100111011010,0.0027177919830591872,0.00034694847654814765,7.50676650855987e-06,2.6e-05,6.4e-05
6619,01100111011011,-0.00045613321999771173,0.002241103609912054,5.230602904746321e-06,4.2e-05,3e-05
6620,01100111011100,0.0016082531520462406,0.004465354301072675,2.2525867235174907e-05,5.6e-05,4e-05
6621,01100111011101,-0.010558947244649697,-0.006354741533002356,0.00015187410686656058,9.8e-05,8.6e-05
6622,01100111011110,-0.007971236740475026,-0.005875568004060178,9.806291454303462e-05,0.000106,7.8e-05
6623,01100111011111,0.003144285251972024,-0.0039413229686554654,2.5420556489019908e-05,3.6e-05,5.4e-05
6624,01100111100000,-0.0022729982984023116,-0.003670802671236798,1.8641313515699015e-05,5e-05,5.8e-05
6625,01100111100001,-0.002803602435760392,-0.0038595973192529966,2.2756678084586518e-05,5.2e-05,4.6e-05
6626,01100111100010,0.0015752526848017883,0.006371901782123855,4.308255334200841e-05,8.2e-05,6.2e-05
6627,01100111100011,0.003275584497519627,0.011051273620392175,0.0001328601024331669,6.8e-05,8.8e-05
6628,01100111100100,-0.00569968625914897,0.0023090244637338896,3.781801742685316e-05,3.8e-05,5.2e-05
6629,01100111100101,-0.006537438378133415,-0.01314226099473557,0.00021545712460163961,6.2e-05,0.000106
6630,01100111100110,0.012549240378242562,0.006211380886468865,0.00019606468658770428,0.000128,8.2e-05
6631,01100111100111,-0.012028667928663164,-0.00044323693185365724,0.0001448853111158088,6.6e-05,0.00011
6632,01100111101000,0.005906863034817926,0.004472548060598605,5.489471706646279e-05,6.6e-05,7e-05
6633,01100111101001,0.004251738330953621,-0.0064617106841697355,5.9830983800813595e-05,6.8e-05,6.8e-05
6634,01100111101010,0.004660231354114724,-0.003929147769282989,3.715595846673544e-05,5.8e-05,5.8e-05
6635,01100111101011,0.004565316920503517,-0.0025138743519765782,2.7161682842161378e-05,2.8e-05,5.4e-05
6636,01100111101100,-0.0020519342752678407,-0.0070995395326558545,5.461389584576227e-05,6.2e-05,5.2e-05
6637,01100111101101,-0.0012945797612056277,0.0020671702822681933,5.949129734015982e-06,3.6e-05,4.6e-05
6638,01100111101110,-0.0020242508619038205,0.00013592279710553058,4.116066558691351e-06,2.8e-05,3.2e-05
6639,01100111101111,0.004843324228490412,0.008386381994614826,9.378919254188201e-05,3.2e-05,6.8e-05
6640,01100111110000,0.001069283554831808,0.0021122886191992586,5.605130531432459e-06,4e-05,4.8e-05
6641,01100111110001,-0.002995640529015208,0.003743288518741156,2.298607111361787e-05,4.2e-05,3.6e-05
6642,01100111110010,0.002090180675044082,-0.0005180613343351364,4.637242800460836e-06,3.8e-05,4.4e-05
6643,01100111110011,0.003185939296058036,-0.003759820956661254,2.4286462824315925e-05,6.4e-05,5e-05
6644,01100111110100,-0.005816463780360329,-0.002019727122388803,3.791054855715653e-05,6.2e-05,5e-05
6645,01100111110101,-0.010837777353947703,-0.004726075793795139,0.00013979321038243801,4.2e-05,8.4e-05
6646,01100111110110,0.002736948942744745,-0.0009700561087426533,8.431898369300516e-06,5.4e-05,5.6e-05
6647,01100111110111,-0.007276277676653294,0.009418780388452574,0.00014165764083366188,6e-05,8.4e-05
6648,01100111111000,0.010090853759698827,-0.013512783328682514,0.000284420642887548,0.000114,0.00012
6649,01100111111001,-0.0037658289150799603,-0.0006297616861042094,1.4578067198937128e-05,4.8e-05,5.2e-05
6650,01100111111010,-0.005454690268468607,0.013781728836024697,0.00021968969563464078,0.000138,0.000118
6651,01100111111011,0.00903716431963961,0.006992156177443851,0.00013056058694993345,6.2e-05,9e-05
6652,01100111111100,-0.00039444450380405217,0.01233324009977027,0.00015226439782516261,6.8e-05,7.2e-05
6653,01100111111101,0.00048399889796309475,0.002823351832984578,8.205570506046866e-06,3.6e-05,6.4e-05
6654,01100111111110,-0.0005295432415084707,-0.009129055792989366,8.362007571614e-05,4.4e-05,7e-05
6655,01100111111111,0.0007563532217906037,-0.007696986209846642,5.98156669106824e-05,4e-05,6.2e-05
6656,01101000000000,0.004893062602727608,0.0013144319881879182,2.566979308578312e-05,6.8e-05,6.2e-05
6657,01101000000001,0.0017186788380643804,0.0025758213775836127,9.58871271762707e-06,4.8e-05,2.4e-05
6658,01101000000010,0.0003929147116154602,-0.0032543150281151585,1.0744948272820026e-05,3.8e-05,4.2e-05
6659,01101000000011,-0.0039334290898975395,-0.0011148964389613681,1.6714858474860924e-05,3.2e-05,4.6e-05
6660,01101000000100,0.0007486664940931182,0.0013552522477163647,2.39721017431794e-06,3.2e-05,3.4e-05
6661,01101000000101,-0.0015935624120026752,-0.0020114022580687545,6.585180204711869e-06,4e-05,5.6e-05
6662,01101000000110,0.010808351742574347,-0.0008382583891449165,0.00011752314451818174,7.6e-05,7.8e-05
6663,01101000000111,0.0015120562058033695,0.002387656021949969,7.987215248662432e-06,5e-05,4.4e-05
6664,01101000001000,0.005339617273758838,0.007802014744967669,8.938294671091668e-05,9e-05,7e-05
6665,01101000001001,0.0024636513734155306,-0.002094521114935203,1.0456596790641637e-05,4.4e-05,6.4e-05
6666,01101000001010,0.00432256889354272,0.00814261316637098,8.498675101658116e-05,5.2e-05,7e-05
6667,01101000001011,0.00707309802473963,-0.009078401717431262,0.00013244609341063455,7e-05,8e-05
6668,01101000001100,-0.007707459840023248,-0.004427519066287253,7.900786226790833e-05,7e-05,8e-05
6669,01101000001101,-0.001087278943294306,-0.007301952693710916,5.450068864172329e-05,0.000112,5.2e-05
6670,01101000001110,0.0005762567920435612,-0.003953425843819599,1.5961647792957044e-05,2e-05,4.4e-05
6671,01101000001111,0.0022735604997392014,-0.003943574901235744,2.0720860347630874e-05,3e-05,4.6e-05
6672,01101000010000,0.002772684102044376,-0.004889965940348736,3.159954402750033e-05,8.4e-05,5.4e-05
6673,01101000010001,-0.002213618831615952,-0.00703175937346209,5.434574821795673e-05,6.6e-05,5.2e-05
6674,01101000010010,-0.005470628372038194,0.01276690669992896,0.00019292168146964024,0.000144,0.000114
6675,01101000010011,0.005718428570194373,0.0031567016119422274,4.266519037925392e-05,5.4e-05,5e-05
6676,01101000010100,-0.005683356905714868,-0.0015100566352902202,3.45808167595209e-05,3.8e-05,5.4e-05
6677,01101000010101,0.002008328071740489,0.0005866525306895735,4.377542835505352e-06,4e-05,5.2e-05
6678,01101000010110,0.0019941120153740936,0.005568844552700108,3.4988512381997e-05,4.8e-05,3e-05
6679,01101000010111,0.002622239332908909,-0.0019237976174963072,1.0577136392139028e-05,4.6e-05,5.8e-05
6680,01101000011000,-0.010206775746722916,0.0001622186211110621,0.0001042045860249263,8e-05,5.6e-05
6681,01101000011001,0.0011222363730088848,0.01234253291425467,0.00015359753321636402,0.000128,9.2e-05
6682,01101000011010,0.0037732632204254004,0.009612056983676422,0.00010662915478805774,9.2e-05,9.4e-05
6683,01101000011011,0.0016233892022619392,0.00019250277524386497,2.672449820497245e-06,3.2e-05,5.4e-05
6684,01101000011100,-0.0037674258097928244,-0.014544872428934721,0.00022574681120627853,0.000112,9.8e-05
6685,01101000011101,0.0031786431395322313,0.013665719259734622,0.00019685565509437714,0.000124,9.6e-05
6686,01101000011110,0.00258814181727442,-0.008150493318121671,7.312901939507055e-05,4.4e-05,7.8e-05
6687,01101000011111,-0.002883576991734306,-0.008428626716902629,7.935676460014426e-05,3.4e-05,5.4e-05
6688,01101000100000,0.00153372381427528,0.004409353192616842,2.1794704315715452e-05,6.4e-05,5e-05
6689,01101000100001,0.011236593892847513,0.00036620909003571103,0.0001263951514104028,9.8e-05,7.4e-05
6690,01101000100010,0.0022994638083003146,-0.0018931210372035256,8.871441067185539e-06,4.4e-05,5e-05
6691,01101000100011,-0.0003906258732388349,-0.0020483174823744702,4.348193081444491e-06,2.8e-05,4.6e-05
6692,01101000100100,0.006575490724806605,-0.009026890802349252,0.00012472183582955523,8.6e-05,7.6e-05
6693,01101000100101,-0.0006590522169167626,-0.010194073244927453,0.00010435347914756864,0.000116,7e-05
6694,01101000100110,-0.009976156465268088,0.008534453038047677,0.0001723605864781515,0.000102,0.000104
6695,01101000100111,-0.0010185841809487632,-0.007387249391873685,5.5608967311417184e-05,3.6e-05,7.4e-05
6696,01101000101000,-0.009745771394971042,0.003917372323142181,0.00011032586600115619,5e-05,8.8e-05
6697,01101000101001,-0.005519641044906075,0.002421644330338395,3.633079852727192e-05,7.2e-05,5.4e-05
